Authors	Title	Citation	serial	DOI	Year	Month	0	1	2	3	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	"SUM 
Completed"
"Shipan Dai, Murugesan V. S. Rajaram, Heather M. Curry, Rachel Leander, Larry S. Schlesinger"	Fine Tuning Inflammation at the Front Door: Macrophage Complement Receptor 3-mediates Phagocytosis and Immune Suppression for Francisella tularensis	"PLOS Pathogens, January 2013 | Volume 9 | Issue 1 | e1003114"	41	10.1371/journal.ppat.1003114	2013	01-Jan				1	"Duplicated or mirrored blot panels, or lanes within blots"	1	03/09/2016		1		1
"Vicente Ramírez,  Ana López, Brigitte Mauch-Mani, Ma José Gil, Pablo Vera_"	An Extracellular Subtilase Switch for Immune Priming in Arabidopsis	"PLOS Pathogens, June 2013 | Volume 9 | Issue 6 | e1003445"	42	10.1371/journal.ppat.1003445	2013	06-Jun			1		"Duplicated/stretched images of a leaf, duplicated gel panels"	1	11/02/2016		1		1
"Haitao Wei, Song Wang, Qinghuang Chen, Yuhai Chen, Xiaojuan Chi, Lianfeng Zhang, Shile Huang, George F. Gao, Ji-Long Chen"	Suppression of Interferon Lambda Signaling by SOCS-1 Results in Their Excessive Production during Influenza Virus Infection	"PLOS Pathogens, January 2014 | Volume 10 | Issue 1 | e1003845"	43	10.1371/journal.ppat.1003845	2014	01-Jan			1		"Duplicated blot panels, shifted"	1	1/14/2016		1		1
"Meleri Jones, Inga R. Dry, Dan Frampton, Manuraj Singh, Ravinder K. Kanda, Michael B. Yee, Paul Kellam, Michael Hollinshead, Paul R. Kinchington, Edel A. O’Toole, Judith Breuer "	RNA-seq Analysis of Host and Viral Gene Expression Highlights Interaction between Varicella Zoster Virus and Keratinocyte Differentiation	"PLOS Pathogens, January 2014 | Volume 10 | Issue 1 | e1003896"	44	10.1371/journal.ppat.1003896	2014	01-Jan			1		Duplicated shifted blot panel	1	7/22/2014		1		1
"Miti Jearaphunt, Chadanat Noonin, Pikul Jiravanichpaisal, Seiko Nakamura, Anchalee Tassanakajon, Irene So_derhäll, Kenneth Söderhällati"	Caspase-1-Like Regulation of the proPO-System and Role of ppA and Caspase-1-Like Cleaved Peptides from proPO in Innate Immunity	"PLOS Pathogens 2014, April 2014 | Volume 10 | Issue 4 | e1004059, doi:10.1371/journal.ppat.1004059"	45	10.1371/journal.ppat.1004059	2014	04-Apr		1			Duplicated microscopy panels	1	5/20/2016		1		1
"Niyas Kudukkil Pulloor, Sajith Nair, Aleksandar D. Kostic, Pradeep Bist, Jeremy D. Weaver, Andrew M. Riley, Richa Tyagi, Pradeep D. Uchil, John D. York, Solomon H. Snyder, Adolfo Garcı__a-Sastre, Barry V. L. Potter, Rongtuan Lin, Stephen B. Shears, Ramnik J. Xavier, Manoj N. Krishnan"	Human Genome-Wide RNAi Screen Identifies an Essential Role for Inositol Pyrophosphates in Type-I Interferon Response	"PLOS Pathogens, February 2014 | Volume 10 | Issue 2 | e1003981"	46	10.1371/journal.ppat.1003981	2014	02-Feb			1		"Duplicated, and shifted western blot panels"	1	10/23/2014		1		1
"Verity G. Kew, Jinxiang Yuan, Jeffery Meier, Matthew B. Reeves"	Mitogen and Stress Activated Kinases Act Co-operatively with CREB during the Induction of Human Cytomegalovirus Immediate-Early Gene Expression from Latency	"PLOS Pathogens,  June 2014 | Volume 10 | Issue 6 | e1004195"	47	10.1371/journal.ppat.1004195	2014	06-Jun			1		Rotated western blot	1	09/05/2014		1		1
"Michelle Khai Khun Yap, Nget Hong Tan, Si Mui Sim, Shin Yee Fung, Choo Hock Tan"	Pharmacokinetics of Naja sumatrana (Equatorial Spitting Cobra) Venom and Its Major Toxins in Experimentally Envenomed Rabbits	PLOS Neglected Tropical Diseases June 2014 | Volume 8 | Issue 6 | e28901	48	10.1371/journal.pntd.0002890	2014	01-Jan				1	"duplicated, stretched blot panels with duplicated area within blot"	1	9/30/2014		1		1
"Jianming Chen, Julian I. Rood, and Bruce A. McClane"	Epsilon-Toxin Production by Clostridium perfringens Type D Strain CN3718 Is Dependent upon the agr Operon but Not the VirS/VirR Two-Component Regulatory System	mBio 2(6):  2011	49	10.1128/mBio.00275-11	2011	mBio			1		"Overlapping microscopy images, multiple times"	1	1/27/2015		1		1
"Doblin Sandai, Yin Zhikang, Laura Selway, David Stead, Janet Walker, Michelle D. Leach, Iryna Bohovych, Iuliana V. Ene, Stavroula Kastora, Susan Budge, Carol A. Munro, Frank C. Odds, Neil A. R. Gow, and Alistair J. P. Brown"	The Evolutionary Rewiring of Ubiquitination Targets Has Reprogrammed the Regulation of Carbon Assimilation in the Pathogenic Yeast Candida albicans	mBio 3(6): 2012	50	10.1128/mBio.00495-12	2012	mBio		1			Duplicated western blots	1	1/20/2015		1		1
"Anusha M. Gopalakrishnan, and Nirbhay Kumar"	Opposing Roles for Two Molecular Forms of Replication Protein A in Rad51-Rad54-Mediated DNA Recombination in Plasmodium falciparum	mBio 4(3): 2013	51	10.1128/mBio.00252-13	2013	mBio			1		Duplicated agarose gel panels	1	02/03/2015		1		1
"Christopher W. Cutler, Paul I. Eke, Caroline A. Genco, Thomas E. Van Dyke, and Roland R. Arnold"	Hemin-Induced Modifications of the Antigenicity and Hemin-Binding Capacity of Porphyromonas gingivalis Lipopolysaccharide	"Infect. Immun. June 1996, p. 2282–2287 Vol. 64, No. 6"	52	10.1128/iai.64.6.2282-2287.1996	1996	IAI				1	"Cut, and duplicated SDS PAGE parts"	1				1	1
"Brenda A. Wilson, Virgilio G. Ponferrada, Jefferson E. Vallence, and Mengfei Ho"	Localization of the Intracellular Activity Domain of Pasteurella multocida Toxin to the N Terminus	"Infection, and Immunity, Jan. 1999, p. 80–87 Vol. 67, No. 1"	53	10.1128/IAI.67.1.80-87.1999	1999	IAI		1			"Identical microscopy panels, might be error"	1				1	1
"S. Jeyaseelan, S.L. Hsuan, M.S. Kannan, B. Walcheck, J.F. Wang, M.E. Kehrli, E.T. Lally, G.C. Sieck, and S.K. Maheswaran"	Lymphocyte Function-Associated Antigen 1 Is a Receptor for Pasteurella haemolytica Leukotoxin in Bovine Leukocytes	"Infection, and Immunity, Jan. 2000, p. 72–79 Vol. 68, No. 1"	54	10.1128/IAI.68.1.72-79.2000	2000	IAI			1		Multiple cases of shifted or duplicated blot panels	1				1	1
"S. Jeyaseelan, M.S. Kannan, R.E. Briggs, P. Thumbikat, and S.K. Maheswaran"	"Mannheimia haemolytica Leukotoxin Activates a Nonreceptor Tyrosine Kinase Signaling Cascade in Bovine Leukocytes, Which Induces Biological Effects"	"Infection, and Immunity, Oct. 2001, p. 6131–6139 Vol. 69, No. 10"	55	10.1128/IAI.69.10.6131–6139.2001	2001	IAI				1	Multiple cases of shifted or duplicated blot panels	1				1	1
"Nobuo Okahashi, Atsuo Sakurai, Ichiro Nakagawa, Taku Fujiwara, Shigetada Kawabata, Atsuo Amano, and Shigeyuki Hamada"	Infection by Streptococcus pyogenes Induces the Receptor Activator of NF-__B Ligand Expression in Mouse Osteoblastic Cells	"Infect. Immun. Feb. 2003, p. 948–955 Vol. 71, No. 2"	56	10.1128/IAI.71.2.948-955.2003	2003	IAI		1			"duplicated blots, two sets"	1				1	1
"Stephanie Dahan, Guillaume Dalmasso, Veronique Imbert, Jean-Francois Peyron, Patrick Rampal, and Dorota Czerucka"	Saccharomyces boulardii Interferes with Enterohemorrhagic Escherichia coli-Induced Signaling Pathways in T84 Cells	"Infection and Immunity 73: Feb. 2003, p. 766–773"	57	10.1128/IAI.71.2.766–773.2003	2003	IAI			1		multiple cases of duplicated bands within same blot	CHECK				1	1
"Laura W. Schrum, Ian Marriott, Betsy R. Butler, Elaine K. Thomas, Michael C. Hudson, and Kenneth L. Bost"	Functional CD40 Expression Induced following Bacterial Infection of Mouse and Human Osteoblast	"Infect. Immun. Mar. 2003, p. 1209–1216"	58	10.1128/IAI.71.3.1209–1216.2003	2003	IAI		1			duplicated microscopoy images	CHECK				1	1
"Sen Rong Yan, Gefei Qing, David M. Byers, Andrew W. Stadnyk, Walla Al-Hertani, and Robert Bortolussi"	Role of MyD88 in Diminished Tumor Necrosis Factor Alpha Production by Newborn Mononuclear Cells in Response to Lipopolysaccharide	"Infect. Immun. Mar. 2004, p. 1223–1229 Vol. 72, No. 3"	59	10.1128/IAI.72.3.1223-1229.2004	2004	IAI			1		Mirrored blot	1				1	1
"Peter L. W. Yun, Arthur A. Decarlo, Cheryl C. Chapple, and Neil Hunter"	Functional Implication of the Hydrolysis of Platelet Endothelial Cell Adhesion Molecule 1 (CD31) by Gingipains of Porphyromonas gingivalis for the Pathology of Periodontal Disease	"Infect. Immun. Mar. 2005, p. 1386–1398 Vol. 73, No. 3"	60	10.1128/IAI.73.3.1386-1398.2005	2005	IAI			1		Overlapping microscopy panels	1				1	1
