Authors	Title	Citation	serial	DOI	Year	Month	0	1	2	3	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	"SUM 
Completed"
"Ingunn Holen, Jacob Whitworth, Faith Nutter, Alyson Evans, Hannah K Brown, Diane V Lefley, Ivana Barbaric, __Mark Jones, and Penelope D Ottewell"	"Loss of plakoglobin promotes decreased cell-cell contact, increased invasion and breast cancer cell dissemination in vivo"	"Breast Cancer Research 2012, 14:R86"	131	10.1186/bcr3201	2012			1			Duplicated microscopy images	1	3/28/2017		1		1
"Meiou Dai, Amal A Al-Odaini, Ani Arakelian, Shafaat A Rabbani, Suhad Ali, and Jean-Jacques Lebrun"	A novel function for p21Cip1 and acetyltransferase p/CAF as critical transcriptional regulators of TGFb-mediated breast cancer cell migration and invasion	"Breast Cancer Research 2012, 14:R127"	132	10.1186/bcr3322	2012			1			Duplicated blot panels	1	3/28/2017		1		1
"Yi Fang Lee, Lance David Miller, Xiu Bin Chan, Michael A Black, Brendan Pang, Chee Wee Ong, Manuel Salto-Tellez, Edison T Liu, and Kartiki V Desai"	JMJD6 is a driver of cellular proliferation and motility and a marker of poor prognosis in breast cancer	"Breast Cancer Research 2012, 14:R85"	133	10.1186/bcr3200	2012			1			"duplicated blots, different exposure?"	1	3/28/2017		1		1
"Meiou Dai, Amal A Al-Odaini, Nade_ge Fils-Aimé, Manuel A Villatoro, Jimin Guo, Ani Arakelian, Shafaat A Rabbani, Suhad Ali, and Jean Jacques Lebrunn"	Cyclin D1 cooperates with p21 to regulate TGFb-mediated breast cancer cell migration and tumor local invasion	"Breast Cancer Research 2013, 15:R49"	134	10.1186/bcr3441	2013				1		Overlapping microscopy images	1	3/28/2017		1		1
"Zhaojia Wu, Siqi Shen, Zhiling Zhang, Weiwei Zhang, and Wei Xiao"	Ubiquitin-conjugating enzyme complex Uev1A-Ubc13 promotes breast cancer metastasis through nuclear factor-_B mediated matrix metalloproteinase-1 gene regulation	"Breast Cancer Research 2014, 16:R75"	135	10.1186/bcr3692	2014				1		Overlapping microscopy images	1	3/28/2017		1		1
"Alexandr V. Bazhin, Olga N. Shifrina, Marina S. Savchenko, Natalya K. Tikhomirova, Maria A. Goncharskaia, Vera A. Gorbunova, Ivan I. Senin, Alexandr G. Chuchalin, Pavel P. Philippov"	Low titre autoantibodies against recoverin in sera of patients with small cell lung cancer but without a loss of vision	Lung Cancer 34 (2001) 99–104	136	10.1016/S0169-5002(01)00212-4	2001				1		Duplicated blot strips	1				1	1
"Marina S. Savchenko, Alexandr V. Bazhin, Olga N. Shifrina, Sofia A. Demoura, Eugenia A. Kogan, Alexandr G. Chuchalin, Pavel P. Philippov"	Antirecoverin autoantibodies in the patient with non-small cell lung cancer but without cancer-associated retinopathy	"Lung Cancer (2003) 41, 363__/367"	137	10.1016/S0169-5002(03)00239-3	2003				1		Duplicated blot strips	1	07/05/2016	1			1
"Stephana Carelli, Giorgia Zadra, Valentina Vaira, Monica Falleni, Luca Bottiglieri, Mario Nosotti, Anna Maria Di Giulio, Alfredo Gorio, Silvano Bosari"	Up-regulation of focal adhesion kinase in non-small cell lung cancer	"Lung Cancer (2006) 53, 263—271"	138	10.1016/j.lungcan.2006.06.001	2006					1	Duplicated lanes with blot panel	1				1	1
"Katherine M. Finan, Greg Hodge, Ann M. Reynolds, Sandra Hodge, Mark D. Holmes, Andrew H. Baker, Paul N. Reynolds"	In vitro susceptibility to the pro-apoptotic effects of TIMP-3 gene delivery translates to greater in vivo efficacy versus gene delivery for TIMPs-1 or -2	"Lung Cancer (2006) 53, 273—284"	139	10.1016/j.lungcan.2006.06.006	2006				1		Overlapping microscopy images	1	6/13/2016		1		1
"Kang Fang, Shih-Ping Chen, Chia-Wei Lin, Wan-Chun Cheng, Hwei-Tien Huang"	Ellipticine-induced apoptosis depends on Akt translocation and signaling in lung epithelial cancer cells	Lung Cancer 63 (2009) 227–234	140	10.1016/j.lungcan.2008.05.026	2009				1		Shifted reused blots	1	10/01/2016	1			1
"Shun-Dong Dai, Yan Wang, Gui-Yang Jiang, Peng-Xin Zhang, Xin-Jun Dong, Qiang Wei, Hong-Tao Xu, Qing-Chang Li, Chen Zhao, En-Hua Wang"	Kaiso is expressed in lung cancer: Its expression and localization is affected by p120ctn	Lung Cancer 67 (2010) 205–215	141	10.1016/j.lungcan.2009.06.013	2010					1	Duplicated parts of lanes to make 2 negative lanes	1	12/01/2016	1			1
"Kazutoshi Komiya, Naoko Sueoka-Aragane, Akemi Sato, Takashi Hisatomi, Toru Sakuragi, Masahiro Mitsuoka, Toshimi Sato, Shinichiro Hayashi, Hiroto Izumi, Makoto Tsuneoka, Eisaburo Sueoka"	"Expression of Mina53, a novel c-Myc target gene, is a favorable prognostic marker in early stage lung cancer"	Lung Cancer 69 (2010) 232–238	142	10.1016/j.lungcan.2009.10.010	2010					1	Manipulated FACS panels	1	11/01/2016		1		1
"Hakan Akca, Aydin Demiray, Onur Tokgun, Jun Yokota"	Invasiveness and anchorage independent growth ability augmented by PTEN inactivation through the PI3K/AKT/NFkB pathway in lung cancer cells	Lung Cancer 73 (2011) 302–309	143	10.1016/j.lungcan.2011.01.012	2011	10.1016/j.lungcan.2011.01.012				1	Duplicated bands within same blot	1	11/01/2016		1		1
"Norimitsu Tanaka, Shinichi Toyooka, Junichi Soh, Takafumi Kubo, Hiromasa Yamamoto, Yuho Maki, Takayuki Muraoka, Kazuhiko Shien, Masashi Furukawa, Tsuyoshi Ueno, Hiroaki Asano, Kazunori Tsukuda, Keisuke Aoe, Shinichiro Miyoshi"	Frequent methylation and oncogenic role of microRNA-34b/c in small-cell lung cancer	Lung Cancer 76 (2012) 32–38	144	10.1016/j.lungcan.2011.10.002	2012			1			Duplicated microscopy image; might be error	1			1		1
"Dusanka S. Skundric, Weili Zhou, William W. Cruikshank, Rujuan Dai"	Increased levels of bioactive IL-16 correlate with disease activity during relapsing experimental autoimmune encephalomyelitis (EAE)	Journal of Autoimmunity 25 (2005) 206-214	145	10.1016/j.jaut.2005.09.016	2005				1		"Duplicated blot strips, stretched multiple cases"	1				1	1
"Pascale Gerbaud, Loıc Petzold, Patrice Therond, Wayne B. Anderson, Daniele Evain-Brion, Francoise Raynaud"	"Differential regulation of Cu, Zn- and Mn-superoxide dismutases by retinoic acid in normal and psoriatic human fibroblasts"	Journal of Autoimmunity 24 (2005) 69-78	146	10.1016/j.jaut.2004.10.003	2005			1			Duplicated blot panel	1				1	1
"M. Sisto, S. Lisi, D. Castellana, P. Scagliusi, M. D'Amore, S. Caprio, A. Scagliusi, A. Acquafredda, M.A. Panaro, V. Mitolo"	Autoantibodies from Sjögren's syndrome induce activation of both the intrinsic and extrinsic apoptotic pathways in human salivary gland cell line A-253	Journal of Autoimmunity 27 (2006) 38-49	147	10.1016/j.jaut.2006.05.001	2006					1	"Overlapping microscopy, duplicated bands within blots"	1				1	1
"Itshak Golan, Shlomo Nedvetzki, Ira Golan, Lora Eshkar-Sebban, David Levartovsky, Ori Elkayam, Dan Caspi, Suhail Aamar, Howard Amital, Alan Rubinow, David Naor"	Expression of extra trinucleotide in CD44 variant of rheumatoid arthritis patients allows generation of disease-specific monoclonal antibody	Journal of Autoimmunity 28 (2007) 99-113	148	10.1016/j.jaut.2007.02.007	2007			1			Duplicated FACS panel	1				1	1
"Xiaoyan Xiao, Bin Ma, Baojun Dong, Peng Zhao, Ningwen Tai, Li Chen, F. Susan Wong, Li Wen"	Cellular and humoral immune responses in the early stages of diabetic nephropathy in NOD mice	Journal of Autoimmunity 32 (2009) 85–93	149	10.1016/j.jaut.2008.12.003	2009				1		Overlapping microscopy images	1				1	1
"Dana Ben-Ami Shor, Miri Blank, Sandra Reuter, Torsten Matthias, Inbal Beiglass, Alexander Volkov, Iris Barshack, Yehuda Shoenfeld"	Anti-ribosomal-P antibodies accelerate lupus glomerulonephritis and induce lupus nephritis in nai_ve mice	Journal of Autoimmunity 54 (2014) 118-126	150	10.1016/j.jaut.2014.02.013	2014			1			Duplicated microscopy panels	1	02/01/2016		1		1
