Authors	Title	Citation	serial	DOI	Year	Month	0	1	2	3	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	"SUM 
Completed"
"Taku Inokuchi, Tuneyoshi Ka, Asako Yamamoto, Yuji Moriwaki, Sumio Takahashi, Zenta Tsutsumi, Daisuke Tamada, Tetsuya Yamamoto"	Effects of ethanol on monosodium urate crystal-induced inflammation	Cytokine 42 (2008) 198–204	161	10.1016/j.cyto.2008.01.001	2008			1			Duplicated blot	1				1	1
"Zhao Huang, Qiong Wen, Shu-Feng Zhou, Xue-Qing Yu"	Differential chemokine expression in tubular cells in response to urinary proteins from patients with nephrotic syndrome	Cytokine 42 (2008) 222–233	162	10.1016/j.cyto.2008.02.005	2008			1			Duplicated whole figure; very likely error	1				1	1
"Aramati B.M. Reddy, Satish K. Srivastava, Kota V. Ramana"	Anti-inflammatory effect of aldose reductase inhibition in murine polymicrobial sepsis	Cytokine 48 (2009) 170–176	163	10.1016/j.cyto.2009.07.004	2009					1	"Duplicated/mirrored bands, manipulated"	1				1	1
"Kumiko Goto, Yoshihiko Chiba, Miwa Misawa"	IL-13 induces translocation of NF-kappaB in cultured human bronchial smooth muscle cells	Cytokine 46 (2009) 96–99	164	10.1016/j.cyto.2008.12.021	2009					1	Duplicated lane within blot	1				1	1
"Surinder Safaya, Elizabeth S. Klings, Adam Odhiambo, Guihua Li, Harrison W. Farber, Martin H. Steinberg"	Effect of sodium butyrate on lung vascular TNFSF15 (TL1A) expression: Differential expression patterns in pulmonary artery and microvascular endothelial cells	Cytokine 46 (2009) 72–78	165	10.1016/j.cyto.2008.12.013	2009				1		Mirrored blot	1				1	1
"Yanping Yang, Ying Xu, Wei Li, Guanjun Wang, Yanqiu Song, Guozi Yang, Xue Han, Zhonghua Du, Luguo Sun, Kewei Ma"	STAT3 induces muscle stem cell differentiation by interaction with myoD	Cytokine 46 (2009) 137–141	166	10.1016/j.cyto.2008.12.015	2009				1		"Overlapping blots, two cases"	1				1	1
"Ari Kassardjian, Zeina Dakroub, Ola El Zein, Sawsan Ibrahim Kreydiyyeh"	Signaling pathway underlying the up-regulatory effect of TNF-a on the Na+/K+ ATPase in HepG2 cells	Cytokine 49 (2010) 312–318	167	10.1016/j.cyto.2009.11.020	2010					1	"Duplicated yet altered blots, multiple cases"	1				1	1
"Hong Yu, Yuhao Sun, Courtney Haycraft, Viswanathan Palanisamy, Keith L. Kirkwood"	MKP-1 regulates cytokine mRNA stability through selectively modulation subcellular translocation of AUF1	Cytokine 56 (2011) 245–255	168	10.1016/j.cyto.2011.06.006	2011			1			Duplicated negative blot	1				1	1
"Markus Neumeier, Sabrina Bauer, Hilke Bru_hl, Kristina Eisinger, Andrea Kopp, Sabine Abke, Roland Walter, Andreas Schäffler, Christa Buechler n"	"Adiponectin stimulates release of CCL2, -3, -4 and -5 while the surface abundance of CCR2 and -5 is simultaneously reduced in primary human monocytes"	Cytokine 56 (2011) 573–580	169	10.1016/j.cyto.2011.08.017	2011				1		"Two cases of duplicated blots, different exposure"	1	06/01/2013		1		1
"Ping Chen, Liya Huang, Yunwei Sun, Yaozong Yuan"	Upregulation of PIAS1 protects against sodium taurocholate-induced severe acute pancreatitis associated with acute lung injury	Cytokine 54 (2011) 305–314	170	10.1016/j.cyto.2011.02.016	2011				1		"Overlapping microscopy, duplicated blots, multiple cases"	1				1	1
"Ye Zeng, Hu-Rong Sun, Chang Yu, Yi Lai, Xiao-Jing Liu, Jiang Wu, Huai-Qing Chen, Xiao-Heng Liu"	CXCR1 and CXCR2 are novel mechano-sensors mediating laminar shear stress-induced endothelial cell migration	Cytokine 53 (2011) 42–51	171	10.1016/j.cyto.2010.09.007	2011					1	"Duplication, stretching, what not, the lot"	1				1	1
"Yue Wang, Ye Qu, Xiu Long Niu, Wei Jia Sun, Xiao Lei Zhang, Ling Zhi Li"	Autocrine production of interleukin-8 confers cisplatin and paclitaxel resistance in ovarian cancer cells	Cytokine 56 (2011) 365–375	172	10.1016/j.cyto.2011.06.005	2011					1	Duplicated bands in different order	1				1	1
"Hong-Xia Wang, Dong-Mei Zhang, Xiang-Jun Zeng, Jing Mu, Hui Yang, Ling-Qiao Lu, Li-Ke Zhang"	"Upregulation of cytochrome P450 2J3/11,12-epoxyeicosatrienoic acid inhibits apoptosis in neonatal rat cardiomyocytes by a caspase-dependent pathway"	Cytokine 60 (2012) 360–368	173	10.1016/j.cyto.2012.04.029	2012					1	"Duplicated blot, lanes within blot"	1				1	1
"Muyao Li, Mickey E. Gunter, Naomi K. Fukagawa"	Differential activation of the inflammasome in THP-1 cells exposed to chrysotile asbestos and Libby ‘‘six-mix’’ amphiboles and subsequent activation of BEAS-2B cells	Cytokine 60 (2012) 718–730	174	10.1016/j.cyto.2012.08.025	2012			1			Duplicated actin blot	1	06/01/2017		1		1
"Yong-Duk Park, Young-Suk Kim, Yu-Mi Jung, Sang-Im Lee, Young-Man Lee, Jae-Beum Bang, Eun-Cheol Kim"	Porphyromonas gingivalis lipopolysaccharide regulates interleukin (IL)-17 and IL-23 expression via SIRT1 modulation in human periodontal ligament cells	Cytokine 60 (2012) 284–293	175	10.1016/j.cyto.2012.05.021	2012					1	"Multiple, multiple cases of duplicated lanes within blots/gels"	1				1	1
"Christina Galloway, Munmun Chattopadhyay "	Increases in inflammatory mediators in DRG implicate in the pathogenesis of painful neuropathy in Type 2 diabetes	Cytokine 63 (2013) 1–5	176	10.1016/j.cyto.2013.04.009	2013				1		"Duplicated control panel, stretched"	1				1	1
Kyoung Sik Park (only one author)	"Aucubin, a naturally occurring iridoid glycoside inhibits TNF-_-induced inflammatory responses through suppression of NF-_B activation in 3T3-L1 adipocytes"	Cytokine 62 (2013) 407–412	177	10.1016/j.cyto.2013.04.005	2013					1	Multiple cases of duplicated bands within same blot panel	1				1	1
"Bin-Bin Ni, Bo Li, Yue-Hua Yang, Jiang-Wei Chen, Ke Chen, Sheng-Dan Jiang, Lei-Sheng Jiang "	The effect of transforming growth factor _1 on the crosstalk between autophagy and apoptosis in the annulus fibrosus cells under serum deprivation	Cytokine 70 (2014) 87–96	178	10.1016/j.cyto.2014.07.249	2014				1		"Duplicated FACS panel, gated differently"	1				1	1
"Hui Li, Jinglan Wang, Gil Mor, Jeffrey Sklar"	A Neoplastic Gene Fusion Mimics Trans-Splicing of RNAs in Normal Human Cells	"Science 321, 1357 (2008)"	179	10.1126/science.1156725	2008				1		"Duplicated panel, different exposure?"	1	10/02/2015		1		1
"Nitai C. Hait, Jeremy Allegood, Michael Maceyka, Graham M. Strub, Kuzhuvelil B. Harikumar, Sandeep K. Singh, Cheng Luo, Ronen Marmorstein, Tomasz Kordula, Sheldon Milstien, Sarah Spiegel"	Regulation of Histone Acetylation in the Nucleus by Sphingosine-1-Phosphate	"Science 325, 1254 (2009)"	180	10.1126/science.1176709	2009			1			Duplicated blot panel	1				1	1
